_id,_labels,_start,_end,_type,score
,,4715,9086,HAS_SESSION,
,,4715,8941,HAS_SESSION,
,,4716,5397,HAS_SESSION,
,,5030,8177,SIMILAR_BY_RDP,0.20930232558139536
,,4717,5406,HAS_SESSION,
,,4717,5327,HAS_SESSION,
,,25,27,OWNS,
,,8767,2822,READ_LAPS_PASSWORD,
,,9184,3253,READ_LAPS_PASSWORD,
,,13521,2664,READ_LAPS_PASSWORD,
,,0,27,WRITE_DACL,
,,25,27,WRITE_DACL,
,,10885,15063,WRITE_DACL,
,,10885,6339,WRITE_DACL,
,,12192,1,WRITE_DACL,
,,12192,5688,WRITE_DACL,
,,13159,15075,WRITE_DACL,
,,13159,10840,WRITE_DACL,
,,13976,15075,WRITE_DACL,
,,13976,7986,WRITE_DACL,
,,4718,5089,HAS_SESSION,
,,5030,5422,SIMILAR_BY_RDP,0.18181818181818182
,,5030,8362,SIMILAR_BY_RDP,0.175
,,4720,7876,HAS_SESSION,
,,5030,9654,SIMILAR_BY_RDP,0.17073170731707318
,,5030,9432,SIMILAR_BY_RDP,0.14634146341463414
,,4720,6005,HAS_SESSION,
,,4720,535,HAS_SESSION,
,,4722,6958,HAS_SESSION,
,,4723,9272,HAS_SESSION,
,,4723,6795,HAS_SESSION,
,,4724,7172,HAS_SESSION,
,,14355,15068,WRITE_DACL,
,,14355,13386,WRITE_DACL,
,,14816,15064,WRITE_DACL,
,,14816,9003,WRITE_DACL,
,,0,27,WRITE_OWNER,
,,25,27,WRITE_OWNER,
,,10078,15067,WRITE_OWNER,
,,10078,13001,WRITE_OWNER,
,,12706,15074,WRITE_OWNER,
,,12706,12019,WRITE_OWNER,
,,12964,5532,WRITE_OWNER,
,,12964,12542,WRITE_OWNER,
,,5030,7945,SIMILAR_BY_RDP,0.13953488372093023
,,5030,5287,SIMILAR_BY_RDP,0.13157894736842105
,,5030,9994,SIMILAR_BY_RDP,0.1282051282051282
,,5030,7842,SIMILAR_BY_RDP,0.125
,,5030,6283,SIMILAR_BY_RDP,0.12244897959183673
,,5055,5402,SIMILAR_BY_RDP,0.2631578947368421
,,5055,8168,SIMILAR_BY_RDP,0.1935483870967742
,,5055,9609,SIMILAR_BY_RDP,0.1836734693877551
,,5055,6946,SIMILAR_BY_RDP,0.175
,,5055,5307,SIMILAR_BY_RDP,0.17142857142857143
,,5055,9211,SIMILAR_BY_RDP,0.16216216216216217
,,5055,5404,SIMILAR_BY_RDP,0.16216216216216217
,,5055,5232,SIMILAR_BY_RDP,0.15
,,5055,8438,SIMILAR_BY_RDP,0.14705882352941177
,,5055,8759,SIMILAR_BY_RDP,0.14634146341463414
,,5093,5782,SIMILAR_BY_RDP,0.24242424242424243
,,5093,9403,SIMILAR_BY_RDP,0.2222222222222222
,,5093,8931,SIMILAR_BY_RDP,0.18181818181818182
,,5093,9466,SIMILAR_BY_RDP,0.17857142857142858
,,5093,9876,SIMILAR_BY_RDP,0.15555555555555556
,,5093,8798,SIMILAR_BY_RDP,0.15
,,5093,8131,SIMILAR_BY_RDP,0.14705882352941177
,,5093,8726,SIMILAR_BY_RDP,0.13793103448275862
,,5093,7045,SIMILAR_BY_RDP,0.13513513513513514
,,5093,8738,SIMILAR_BY_RDP,0.13157894736842105
,,5106,7518,SIMILAR_BY_RDP,0.4411764705882353
,,5106,6339,SIMILAR_BY_RDP,0.4166666666666667
,,5106,7812,SIMILAR_BY_RDP,0.3111111111111111
,,5106,5688,SIMILAR_BY_RDP,0.2857142857142857
,,5106,5232,SIMILAR_BY_RDP,0.2777777777777778
,,5106,5347,SIMILAR_BY_RDP,0.2682926829268293
,,5106,6766,SIMILAR_BY_RDP,0.2619047619047619
,,5106,9388,SIMILAR_BY_RDP,0.2564102564102564
,,5106,5964,SIMILAR_BY_RDP,0.2564102564102564
,,5106,9113,SIMILAR_BY_RDP,0.23333333333333334
,,5139,8934,SIMILAR_BY_RDP,0.21428571428571427
,,5139,7728,SIMILAR_BY_RDP,0.21428571428571427
,,5139,9727,SIMILAR_BY_RDP,0.2
,,5139,9140,SIMILAR_BY_RDP,0.17857142857142858
,,5139,9033,SIMILAR_BY_RDP,0.16666666666666666
,,5139,5485,SIMILAR_BY_RDP,0.15789473684210525
,,5139,8322,SIMILAR_BY_RDP,0.15
,,5139,7424,SIMILAR_BY_RDP,0.14285714285714285
,,5139,6366,SIMILAR_BY_RDP,0.13333333333333333
,,5139,6255,SIMILAR_BY_RDP,0.13333333333333333
,,5140,7347,SIMILAR_BY_RDP,0.1724137931034483
,,5140,8119,SIMILAR_BY_RDP,0.16
,,5140,9184,SIMILAR_BY_RDP,0.14285714285714285
,,5140,9454,SIMILAR_BY_RDP,0.12903225806451613
,,5140,9820,SIMILAR_BY_RDP,0.12
,,5140,5305,SIMILAR_BY_RDP,0.11538461538461539
,,5140,5862,SIMILAR_BY_RDP,0.10714285714285714
,,5140,6942,SIMILAR_BY_RDP,0.10526315789473684
,,5140,6795,SIMILAR_BY_RDP,0.1
,,5140,6346,SIMILAR_BY_RDP,0.1
,,5153,8273,SIMILAR_BY_RDP,0.3333333333333333
,,5153,6313,SIMILAR_BY_RDP,0.10526315789473684
,,5153,6334,SIMILAR_BY_RDP,0.1
,,5153,7781,SIMILAR_BY_RDP,0.09523809523809523
,,5153,5157,SIMILAR_BY_RDP,0.09523809523809523
,,5153,8523,SIMILAR_BY_RDP,0.09090909090909091
,,5153,9471,SIMILAR_BY_RDP,0.08695652173913043
,,5153,6854,SIMILAR_BY_RDP,0.08333333333333333
,,5153,5408,SIMILAR_BY_RDP,0.07692307692307693
,,5153,7446,SIMILAR_BY_RDP,0.07407407407407407
,,5157,7300,SIMILAR_BY_RDP,0.3
,,5157,9859,SIMILAR_BY_RDP,0.24
